suite	id	result	method
structured_lemma	structured_lemma_qsynth_ea_csv_260_0	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_260_1	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_260_10	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_260_11	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_260_12	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_260_13	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_260_14	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_260_15	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_260_16	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_260_17	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_260_18	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_260_19	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_260_2	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_260_20	UNKNOWN	bit-fallback
structured_lemma	structured_lemma_qsynth_ea_csv_260_21	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_260_22	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_260_23	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_260_24	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_260_25	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_260_26	UNKNOWN	bit-fallback
structured_lemma	structured_lemma_qsynth_ea_csv_260_27	UNKNOWN	bit-fallback
structured_lemma	structured_lemma_qsynth_ea_csv_260_3	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_260_4	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_260_5	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_260_6	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_260_7	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_260_8	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_260_9	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_294_0	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_294_1	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_294_10	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_294_11	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_294_12	UNKNOWN	bit-fallback
structured_lemma	structured_lemma_qsynth_ea_csv_294_13	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_294_14	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_294_2	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_294_3	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_294_4	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_294_5	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_294_6	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_294_7	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_294_8	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_294_9	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_369_0	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_369_1	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_369_10	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_369_11	UNSAT	bit-fallback
structured_lemma	structured_lemma_qsynth_ea_csv_369_12	UNKNOWN	bit-fallback
structured_lemma	structured_lemma_qsynth_ea_csv_369_13	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_369_14	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_369_15	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_369_16	UNKNOWN	bit-fallback
structured_lemma	structured_lemma_qsynth_ea_csv_369_17	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_369_2	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_369_3	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_369_4	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_369_5	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_369_6	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_369_7	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_369_8	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_369_9	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_392_0	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_392_1	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_392_10	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_392_11	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_392_12	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_392_13	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_392_14	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_392_15	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_392_16	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_392_17	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_392_18	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_392_19	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_392_2	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_392_20	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_392_21	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_392_22	UNSAT	direct
