case,nodes,variables,median_seconds
qsynth_ea:349,100,3,0.000843137
qsynth_ea:350,179,2,0.000509148
qsynth_ea:351,372,2,0.001330086
qsynth_ea:352,353,3,0.000152229
qsynth_ea:353,48,2,0.000264079
qsynth_ea:354,553,3,0.006052450
qsynth_ea:355,116,2,0.000065309
qsynth_ea:356,1073,3,0.006502457
qsynth_ea:357,46,3,0.000066350
qsynth_ea:358,289,2,0.000106450
qsynth_ea:359,241,2,0.000645567
qsynth_ea:360,31,2,0.000084470
qsynth_ea:361,23,2,0.000009320
qsynth_ea:362,425,2,0.000195379
qsynth_ea:363,323,2,0.000158120
qsynth_ea:364,94,1,0.000095770
qsynth_ea:365,905,3,0.006037870
qsynth_ea:366,148,2,0.000103950
qsynth_ea:367,114,2,0.000153279
qsynth_ea:368,275,2,0.000201409
qsynth_ea:369,560,2,0.001827054
qsynth_ea:370,119,2,0.000765498
qsynth_ea:371,539,2,0.000752087
qsynth_ea:372,35,2,0.000049820
qsynth_ea:373,354,3,0.000829688
qsynth_ea:374,393,2,0.003279428
qsynth_ea:375,258,2,0.000793597
qsynth_ea:376,49,2,0.000027030
qsynth_ea:377,56,3,0.000296889
qsynth_ea:378,36,3,0.000077670
qsynth_ea:379,299,3,0.002567742
qsynth_ea:380,862,2,0.006433648
qsynth_ea:381,34,2,0.000037250
qsynth_ea:382,1009,2,0.008096211
qsynth_ea:383,597,2,0.000634988
qsynth_ea:384,58,2,0.000110330
qsynth_ea:385,268,2,0.000401539
qsynth_ea:386,442,3,0.001456426
qsynth_ea:387,397,3,0.000449959
qsynth_ea:388,77,2,0.000063560
qsynth_ea:389,44,2,0.000060530
qsynth_ea:390,45,2,0.000078310
qsynth_ea:391,393,2,0.003723107
qsynth_ea:392,190,2,0.000180889
qsynth_ea:393,203,2,0.000015180
qsynth_ea:394,183,2,0.000373029
qsynth_ea:395,54,1,0.000070819
qsynth_ea:396,69,2,0.000043680
qsynth_ea:397,113,2,0.000159079
qsynth_ea:398,77,2,0.000047590
qsynth_ea:399,165,3,0.000561168
qsynth_ea:400,122,2,0.000019460
qsynth_ea:401,86,3,0.000056249
qsynth_ea:402,248,2,0.001187256
qsynth_ea:403,76,2,0.000054600
qsynth_ea:404,252,3,0.001925144
qsynth_ea:405,280,2,0.000177149
qsynth_ea:406,595,3,0.000279019
qsynth_ea:407,372,2,0.000102240
qsynth_ea:408,119,3,0.000082499
qsynth_ea:409,67,2,0.000027480
qsynth_ea:410,46,3,0.000057760
