case,nodes,variables,median_seconds
qsynth_ea:444,401,3,0.001841874
qsynth_ea:445,213,3,0.000549058
qsynth_ea:446,161,3,0.000058960
qsynth_ea:447,164,3,0.000290569
qsynth_ea:448,227,2,0.000075369
qsynth_ea:449,63,2,0.000062770
qsynth_ea:450,139,2,0.000219789
qsynth_ea:451,57,3,0.000074379
qsynth_ea:452,671,3,0.015256367
qsynth_ea:453,145,2,0.000057830
qsynth_ea:454,104,2,0.000404138
qsynth_ea:455,450,2,0.000050410
qsynth_ea:456,348,2,0.000174989
qsynth_ea:457,441,3,0.000821658
qsynth_ea:458,642,2,0.000232119
qsynth_ea:459,60,3,0.000053920
qsynth_ea:460,45,2,0.000078319
qsynth_ea:461,1461,2,0.000517418
qsynth_ea:462,493,3,0.000550298
qsynth_ea:463,30,1,0.000065949
qsynth_ea:464,93,2,0.000105310
qsynth_ea:465,457,3,0.001345396
qsynth_ea:466,158,2,0.000186279
qsynth_ea:467,390,2,0.000152489
qsynth_ea:468,149,3,0.000273209
qsynth_ea:469,41,2,0.000013930
qsynth_ea:470,102,3,0.000060300
qsynth_ea:471,93,2,0.000104580
qsynth_ea:472,168,3,0.000370559
qsynth_ea:473,27,2,0.000009270
qsynth_ea:474,72,3,0.000959617
qsynth_ea:475,149,2,0.000346129
qsynth_ea:476,600,3,0.000385078
qsynth_ea:477,284,3,0.001262776
qsynth_ea:478,220,2,0.000017610
qsynth_ea:479,67,2,0.000077780
qsynth_ea:480,92,3,0.000028020
qsynth_ea:481,348,3,0.001574774
qsynth_ea:482,29,1,0.000010910
qsynth_ea:483,88,2,0.000245419
qsynth_ea:484,246,2,0.000693998
qsynth_ea:485,1189,2,0.000054360
qsynth_ea:486,244,3,0.001936134
qsynth_ea:487,64,2,0.000074110
qsynth_ea:488,194,2,0.000175799
qsynth_ea:489,93,2,0.000054009
qsynth_ea:490,674,3,0.014739799
qsynth_ea:491,17,1,0.000029150
qsynth_ea:492,200,2,0.000231279
qsynth_ea:493,1013,3,0.003448969
qsynth_ea:494,970,3,0.004655195
qsynth_ea:495,30,3,0.000010560
qsynth_ea:496,341,2,0.000236079
qsynth_ea:497,90,2,0.000075900
qsynth_ea:498,199,2,0.000044820
qsynth_ea:499,65,2,0.000047909
qsynth_ea:500,541,3,0.000529258
